pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,839.6994781494141
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,846.4347839355469
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,850.4397296905518
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,852.0094871520996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,849.9020862579346
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,843.6999607086182
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,837.1621513366699
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,839.6994781494141
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,846.4347839355469
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,850.4397296905518
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,852.0094871520996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,849.9020862579346
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,843.6999607086182
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,837.1621513366699
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,839.6994781494141
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,846.4347839355469
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,850.4397296905518
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,852.0094871520996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,849.9020862579346
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,843.6999607086182
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,837.1621513366699
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,839.6994781494141
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,846.4347839355469
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,850.4397296905518
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,852.0094871520996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,849.9020862579346
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,843.6999607086182
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,837.1621513366699
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,839.6994781494141
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,846.4347839355469
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,850.4397296905518
