Feature Set,August MAE,September MAE,October MAE,Average MAE,Feature Count,Improvement vs Base,Feature Config
NO_MONTH_NO_DAY_OF_YEAR,91.95352377730123,95.6472580659221,99.68511408870353,95.76196531064228,11,5.241685176190387,"{""categorical"": [""pickup"", ""delivery"", ""route"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""day_of_week""]}"
NO_DATE_FEATURES,94.86060998363439,98.20106730440189,102.28644734416036,98.44937487739888,10,2.5542756094337875,"{""categorical"": [""pickup"", ""delivery"", ""route"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon""]}"
MINUS_MONTH,85.05498003359125,102.91556825870467,114.24357415675526,100.73804081635039,12,0.26560967048227724,"{""categorical"": [""pickup"", ""delivery"", ""route"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""day_of_week"", ""day_of_year""]}"
NO_PICKUP_DELIVERY_KEEP_ROUTE,85.22598892911239,102.86354064506638,114.2176016494463,100.76904374120835,11,0.23460674562431905,"{""categorical"": [""route"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_week"", ""day_of_year""]}"
MINUS_PICKUP,84.97490698568458,103.16480078523982,114.44684881831995,100.86218552974812,12,0.1414649570845512,"{""categorical"": [""delivery"", ""route"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_week"", ""day_of_year""]}"
BASE_13,85.4545680030526,102.81288748374281,114.74349597370258,101.00365048683267,13,0.0,"{""categorical"": [""pickup"", ""delivery"", ""route"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_week"", ""day_of_year""]}"
MINUS_DELIVERY,85.50070228569145,103.07692271574201,114.60756088608642,101.06172862917329,12,-0.058078142340619365,"{""categorical"": [""pickup"", ""route"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_week"", ""day_of_year""]}"
MINUS_ROUTE,84.22235598272624,103.37425337449999,116.02613689970534,101.20758208564386,12,-0.20393159881119516,"{""categorical"": [""pickup"", ""delivery"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_week"", ""day_of_year""]}"
NO_ROUTE_KEEP_CITIES,84.22235598272624,103.37425337449999,116.02613689970534,101.20758208564386,12,-0.20393159881119516,"{""categorical"": [""pickup"", ""delivery"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_week"", ""day_of_year""]}"
MINUS_DAY_OF_WEEK,94.01081514553904,115.68451697423319,115.06147706038432,108.25226972671885,12,-7.248619239886182,"{""categorical"": [""pickup"", ""delivery"", ""route"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_year""]}"
MINUS_DAY_OF_YEAR,126.61976858575999,102.51254727296757,101.25163335710513,110.12798307194423,12,-9.12433258511156,"{""categorical"": [""pickup"", ""delivery"", ""route"", ""equipment""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_week""]}"
MINUS_DISTANCE,106.12927999853112,111.71011072519555,125.46179766412472,114.43372946261712,12,-13.430078975784454,"{""categorical"": [""pickup"", ""delivery"", ""route"", ""equipment""], ""numeric"": [""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_week"", ""day_of_year""]}"
MINUS_WEIGHT,110.5576070250997,124.75641881113339,133.67274214739902,122.99558932787738,12,-21.991938841044714,"{""categorical"": [""pickup"", ""delivery"", ""route"", ""equipment""], ""numeric"": [""distance"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_week"", ""day_of_year""]}"
MINUS_EQUIPMENT,163.63426357609404,184.33037800385355,177.40610119254617,175.1235809241646,12,-74.11993043733193,"{""categorical"": [""pickup"", ""delivery"", ""route""], ""numeric"": [""distance"", ""weight"", ""pickup_lat"", ""pickup_lon"", ""delivery_lat"", ""delivery_lon"", ""month"", ""day_of_week"", ""day_of_year""]}"
